t [s],Acceleration a_x [m/s^2],Acceleration a_y [m/s^2],Acceleration a_z [m/s^2],
0.385512367,-0.019777774810791,-0.000611883898576101,-0.0102153172095617,
0.603760234,-0.0237943475896662,-0.0173750167543238,-0.0299710360440341,
0.822034509,-0.0224824385209517,-0.0237088921395215,-0.0198575204068964,
1.040295399,-0.0201248689131303,-0.0164034962654114,0.00566919825293801,
1.258555798,-0.0191105062311346,-0.00222437354651364,0.0159311511299827,
1.47681632,-0.0201703851873224,0.000770425254648382,0.00344350121238015,
1.695077535,-0.0262916738336736,0.0924749889157035,-0.0134132694114338,
1.913337854,0.024890119379217,0.312002633105625,-0.0458839210596952,
2.131585965,0.0352874235673384,0.116244372657754,-0.0469879345460372,
2.349859794,-0.000781492753462358,-0.162159436128356,0.0190013376149264,
2.568107295,-0.0399284362792969,-0.195091606541113,0.0447206497192383,
2.786381205,-0.0217559987848455,-0.0716669369827617,0.0130471180785786,
3.004622277,-0.0509298497980291,-0.126614212989807,-0.0288394608280875,
3.222902493,-0.0314550399780273,-0.0628765685991807,-0.00140944394198331,
3.44116322,-0.0406489805741744,-0.0778183503584428,-0.00271587751128457,
3.659424108,-0.0317563143643466,-0.0499775897372853,-0.00198571248487993,
3.877684915,-0.438064401799982,-2.15564055334438,0.262584514238618,
4.095917565,0.799480004744096,-0.0845832147381522,-0.286883633245121,
4.314206408,-0.188767086375843,2.65248476375233,0.287720677527514,
4.532454397,0.111976536837491,2.14360029047186,-0.577325551347299,
4.750728714,0.600004196166992,-1.06637661023573,0.136510683731599,
4.968976012,-0.746554894880815,-2.7749438719316,0.293726712465286,
5.187249595,0.309446161443537,-1.42993617599661,-0.449034620415081,
5.405510444,0.41104776209051,1.72342891584743,0.373834387822585,
5.623771169,-0.334486614574086,2.66039891676469,-0.212864847345786,
5.842032017,0.700641285289418,0.389151180332357,-0.337660943919962,
6.060279926,-0.294292449951172,-2.34398358518427,0.337074892087416,
6.278553794,-0.34626258503307,-2.29138623584401,-0.0891173536127264,
